line,line_number
"Those petty wrongs that liberty commits,",1
"When I am sometime absent from thy heart,",2
"Thy beauty and thy years full well befits,",3
For still temptation follows where thou art.,4
"Gentle thou art and therefore to be won,",5
"Beauteous thou art, therefore to be assailed;",6
"And when a woman woos, what woman's son",7
Will sourly leave her till she have prevailed?,8
"Ay me! but yet thou mightest my seat forbear,",9
"And chide try beauty and thy straying youth,",10
Who lead thee in their riot even there,11
"Where thou art forced to break a twofold truth,",12
"Hers by thy beauty tempting her to thee,",13
"Thine, by thy beauty being false to me.",14
