line,stanza,line_number
"FROM the besieged Ardea all in post,",1,1
"Borne by the trustless wings of false desire,",1,2
"Lust-breathed Tarquin leaves the Roman host,",1,3
And to Collatium bears the lightless fire,1,4
"Which, in pale embers hid, lurks to aspire",1,5
And girdle with embracing flames the waist,1,6
"Of Collatine's fair love, Lucrece the chaste.",1,7
Haply that name of 'chaste' unhappily set,2,8
This bateless edge on his keen appetite;,2,9
When Collatine unwisely did not let,2,10
To praise the clear unmatched red and white,2,11
"Which triumph'd in that sky of his delight,",2,12
"Where mortal stars, as bright as heaven's beauties,",2,13
With pure aspects did him peculiar duties.,2,14
"For he the night before, in Tarquin's tent,",3,15
Unlock'd the treasure of his happy state;,3,16
What priceless wealth the heavens had him lent,3,17
In the possession of his beauteous mate;,3,18
"Reckoning his fortune at such high-proud rate,",3,19
"That kings might be espoused to more fame,",3,20
But king nor peer to such a peerless dame.,3,21
O happiness enjoy'd but of a few!,4,22
"And, if possess'd, as soon decay'd and done",4,23
As is the morning's silver-melting dew,4,24
Against the golden splendor of the sun!,4,25
"An expired date, cancell'd ere well begun:",4,26
"Honour and beauty, in the owner's arms,",4,27
Are weakly fortress'd from a world of harms.,4,28
Beauty itself doth of itself persuade,5,29
The eyes of men without an orator;,5,30
"What needeth then apologies be made,",5,31
To set forth that which is so singular?,5,32
Or why is Collatine the publisher,5,33
Of that rich jewel he should keep unknown,5,34
"From thievish ears, because it is his own?",5,35
Perchance his boast of Lucrece' sovereignty,6,36
Suggested this proud issue of a king;,6,37
For by our ears our hearts oft tainted be:,6,38
"Perchance that envy of so rich a thing,",6,39
"Braving compare, disdainfully did sting",6,40
"His high-pitch'd thoughts, that meaner men should vaunt",6,41
That golden hap which their superiors want.,6,42
But some untimely thought did instigate,7,43
"His all-too-timeless speed, if none of those:",7,44
"His honour, his affairs, his friends, his state,",7,45
"Neglected all, with swift intent he goes",7,46
To quench the coal which in his liver glows.,7,47
"O rash false heat, wrapp'd in repentant cold,",7,48
