line,line_number
"Let me confess that we two must be twain,",1
Although our undivided loves are one:,2
So shall those blots that do with me remain,3
Without thy help by me be borne alone.,4
"In our two loves there is but one respect,",5
"Though in our lives a separable spite,",6
"Which though it alter not love's sole effect,",7
Yet doth it steal sweet hours from love's delight.,8
"I may not evermore acknowledge thee,",9
"Lest my bewailed guilt should do thee shame,",10
"Nor thou with public kindness honour me,",11
Unless thou take that honour from thy name:,12
But do not so; I love thee in such sort,13
"As, thou being mine, mine is thy good report.",14
