line,line_number
"Love is my sin and thy dear virtue hate,",1
"Hate of my sin, grounded on sinful loving:",2
"O, but with mine compare thou thine own state,",3
And thou shalt find it merits not reproving;,4
"Or, if it do, not from those lips of thine,",5
That have profaned their scarlet ornaments,6
"And seal'd false bonds of love as oft as mine,",7
Robb'd others' beds' revenues of their rents.,8
"Be it lawful I love thee, as thou lovest those",9
Whom thine eyes woo as mine importune thee:,10
"Root pity in thy heart, that when it grows",11
Thy pity may deserve to pitied be.,12
"If thou dost seek to have what thou dost hide,",13
By self-example mayst thou be denied!,14
