line,line_number
"O me, what eyes hath Love put in my head,",1
Which have no correspondence with true sight!,2
"Or, if they have, where is my judgment fled,",3
That censures falsely what they see aright?,4
"If that be fair whereon my false eyes dote,",5
What means the world to say it is not so?,6
"If it be not, then love doth well denote",7
Love's eye is not so true as all men's 'No.',8
"How can it? O, how can Love's eye be true,",9
That is so vex'd with watching and with tears?,10
"No marvel then, though I mistake my view;",11
The sun itself sees not till heaven clears.,12
"O cunning Love! with tears thou keep'st me blind,",13
Lest eyes well-seeing thy foul faults should find.,14
